tweet_author,overall_polarity
CADTH,negative
Toby Eyre,positive
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Medivizor,negative
Top News Corner,negative
Pharmazeutische Zeitung,negative
RS6,negative
Amar Bhandari,negative
Industry News Engine,negative
Targeted Oncology,negative
Medicina e Informazione,negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
"Joseph Cioccio, DO",negative
CureHuntr,negative
VJHemOnc,negative
TrialBulletin,negative
OncLive SOSS,negative
Targeted Oncology,negative
Medivizor,negative
DRUGDOCS,negative
Oncology Nursing News,negative
EmatoInfo,negative
Oncology Nursing News,negative
Medivizor,negative
OncLive.com,negative
pharmanewsintel,positive
JPubb 日本企業 リリース 医薬品,negative
PR TIMESビジネス,negative
PR TIMESニュース,negative
WMR Tokyo - スタートアップ,negative
Ashleigh Walls,negative
bargainbriana,positive
April Golightly,negative
dough,negative
jorge,negative
iSanidad,negative
iSanidad,negative
OncLive.com,negative
Trip Database,negative
Radyo La Verdad 1350,negative
CURE Magazine,negative
Radyo La Verdad 1350,negative
Ronald M. Chavin,negative
UNTV News and Rescue,negative
DZBB Super Radyo,negative
Radyo Agila DZEC 1062 Khz,negative
CNN Philippines,negative
DZBB Super Radyo,negative
Medivizor,negative
This Messy Season Family Blog,negative
印度孟加拉抗癌药,negative
Cook Eat Go,negative
IM Médico,negative
William V. Sweeney,positive
Caryn Bailey,negative
Christi B,positive
Trip Database,negative
Kami Allen,negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
Coralie Seright (Lovebugs and Postcards),positive
Elizabeth hurt,negative
EmatoInfo,negative
Benlazar S.M Aminé,negative
Benlazar S.M Aminé,negative
Benlazar S.M Aminé,negative
Benlazar S.M Aminé,negative
Benlazar S.M Aminé,negative
Paperbirds_Hematology,negative
Pepvax Inc,negative
pharmaphorum,negative
NICE,positive
mednetnews,negative
Bionest Partners,positive
Lisa O'Driscoll,positive
Tamara Bowman,negative
David Ledger,negative
Benlazar S.M Aminé,negative
Plexus Ventures,negative
Pharmafocus,negative
Cpl Life Sciences,negative
Targeted Oncology,negative
Pharma News,positive
Pharma News,negative
Jon Angelo,negative
NwokeAgulu,negative
Prescient Healthcare Group,negative
OncLive.com,negative
Paperbirds_Hematology,negative
Smart Clinical Pharmacology,negative
PHARMABOX.IN,negative
PharmaTimes,negative
1stOncology,negative
1stOncology,negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
vshariharakrishnan,negative
"Joseph Cioccio, DO",positive
PHARMABOX.IN,negative
Toby Eyre,positive
****,negative
Investor News,negative
BrainSights iOS App,negative
Targeted Oncology,negative
Pharma Top News,negative
David Ledger,negative
SeattleCancerCareAlliance,negative
IMPharma News,negative
Biotech & Tech Stock Focus,negative
Crwe World,negative
Company News HQ,negative
Anne Sweden,negative
LifeProNow-Pharma-Research and News,negative
Pharmacutical Daily,negative
The British Journal of Cardiology,negative
Devdiscourse,negative
"OTC Dynamics, Inc.",negative
Stock Titan,negative
Investor News,negative
Keeping Life Sane,negative
"OTC Dynamics, Inc.",negative
Shifting Wealth,negative
Cision News,negative
AstraZenecaUS,negative
Stock Titan,negative
Biotech & Tech Stock Focus,negative
Dr. Carsten Wenzel,negative
BiopharmaAsia,negative
Prescient Healthcare Group,negative
CHItraders,negative
WICҚƸ︎Đ✧ȘPĿIҬŚ,negative
Gordon Gekko,negative
Investor News,negative
Breaking News,negative
PharmaTimes,negative
PHARMABOX.IN,negative
PharmaShots - Incisive news in 3 shots,negative
Medicircle.in,positive
1stOncology,negative
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
CALQUENCE® (acalabrutinib),positive
cafepharma,negative
Shifting Wealth,negative
analyst land news,negative
Enosi Life Sciences,negative
ExBulletin,negative
Dr Timos Papagatsias,negative
Wall St. Justin Bieber think.trade💭,negative
PharmaCrowd,negative
FintechZoom,negative
Continental Clinical,negative
NewExpressNews,negative
PHARMABOX.IN,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
Company News HQ,negative
BrainSights iOS App,negative
Anthony Mato,positive
Pharmacutical Daily,negative
Stock Market News,negative
Hottest Stocks Now,negative
"OTC Dynamics, Inc.",negative
Corporate News,negative
IMPharma News,negative
Investor News,negative
Crwe World,negative
Latest News from Business Wire,negative
AstraZenecaUS,negative
Cision News,negative
Stock Titan,negative
Trip Database,negative
CALQUENCE® (acalabrutinib),negative
Ingrid Glimelius,negative
"Maria Badillo, MSN RN OCN CCRP",negative
Toby Eyre,positive
CALQUENCE® (acalabrutinib),negative
Мэрсэдэ́с Bouter LL.M.,negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
Mostly Harmless,negative
BIOCIENCIA,negative
Medscape ES,negative
"Brand Institute, Inc",positive
Dr Pablo Marcelo Lombardo,negative
Rebecca Miller,negative
LaVonne Cladoosby Long,positive
Kelly Tomlinson,positive
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
Mommy's Playbook,negative
knowmedge,negative
IceCreamStickyFinger,negative
Brittany,negative
Carrie,positive
Christian Yosores,negative
Inquirer,negative
jovic yee,negative
Maria,positive
Heidi Bee,positive
Catherine Lewis,negative
@COVID_Evidence,positive
Medivizor,negative
Medivizor,negative
Kathy Hodson,positive
Home Jobs by MOM,positive
Angie Agerter,negative
Ana,positive
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
Lindsey G.,positive
Gelbe Liste,negative
icefairy,negative
Imperfect Women,positive
Candy Washington,positive
Lauren Beth,positive
Lynne Mac Lean,negative
Paul Wright,negative
Medivizor,negative
TF 2,negative
Leave The Cannoli,negative
Mafiusa,negative
Emily Reviews,positive
Kelly & Alex,negative
Deliciously Savvy,positive
Deliciously Savvy,positive
ティーズ,negative
Haute Autorité de santé,negative
Cleverly Changing (She/her),negative
ELMENS,positive
Alexandria,negative
Jaclyn,positive
Stephanie BeautyBrite Ⓥ,negative
Stephanie BeautyBrite Ⓥ,positive
Jennifer Soltys,negative
Vanessa Diaz,positive
Colleen Padilla,positive
Jenn p,positive
Jays SweetNSour Life,positive
FancyFinancy,negative
FancyFinancy,negative
Zazoom Social News,negative
Kimberly Kong,negative
a watcher,negative
Toby Eyre,negative
"Amber Koehler, PA-C",positive
Mariah Moon,negative
OncLive.com,negative
Erica Valentin,negative
Lymphoma Papers,negative
Trip Database,negative
OncLive.com,negative
PracticeUpdate,negative
OncLive.com,positive
Amy Smith,negative
Paperbirds_Hematology,negative
MomGlenz,negative
Da Vinci - Also follow @OutdoorsyBW,negative
Gelbe Liste,negative
JPubb 日本企業 リリース 医薬品,negative
NEWSRELEA.SE,negative
PR TIMESビジネス,negative
コロナ vs. AI 最新テクノロジーで感染症に挑む【書籍】,negative
PR TIMESニュース,negative
WMR Tokyo - スタートアップ,negative
Colin Cesvette,negative
What's up dearie?,positive
BiotechBioPharma,negative
CADTH,negative
BiotechBioPharma,negative
melissa weintraub,negative
HEATHER | Pink Ninja Blogger,negative
Garf,negative
Your Helpful Wendy,negative
Financial Carnivores,negative
Financial Carnivores,negative
My Life is a Journey🇨🇴😷,negative
Quant Data,positive
Swedish Biotech,negative
いつも悩んでる人,negative
Swedish Biotech,negative
CURE Magazine,positive
Wrapped Up N U,negative
pamelamaynard,negative
SensiblySara,negative
The Frugal Navy Wife,negative
Christine | The Growing Creatives,negative
OncLive.com,negative
DCapdepon,negative
Medical Tribune《公式》,negative
The Zamp Camp,negative
Lori Felix,negative
Michele Nadeem-Baker,negative
niecyisms by CLC Studios,negative
Liz Cleland,negative
TheYumYumFoodie,negative
Susie's Reviews,negative
Amanda Taylor,negative
Anne-Marie @ This Mama Cooks! On a Diet,positive
Shelly Belly,negative
MissingLynxx,positive
CISMeF Quoi de neuf,negative
Krystal 👩🏻‍💻,negative
BiopharmaAsia,negative
薬剤師ニュース配信くん,negative
Oncology News Australia,positive
NEWSRELEA.SE,negative
JPubb 日本企業 リリース 医薬品,negative
a watcher,negative
PR TIMESビジネス,negative
Kaila Yu,negative
PR TIMESニュース,negative
WMR Tokyo - スタートアップ,negative
Olivia Douglass,negative
Susie's Reviews,negative
Trendy Cyndie Reviewz & Newz,negative
Momma Lew - Food and Fun by Reesa Lewandowski,negative
Jessica,positive
Tara Pittman,negative
Trip Database,negative
Vikesh Gudka,negative
Evaluate Japan,negative
CarnivoresHealth,negative
CarnivoresHealth,negative
OncLive.com,negative
ECAM Norway,negative
Carlo Franzini,negative
CURE Magazine,negative
Kaushik A.Sejpal,negative
Official Page of MonkeyViral.com,negative
PILOTforPULMONARY,negative
EL GLOBAL,negative
Kari Tikkinen,negative
Pharma Top News,negative
FintechZoom,negative
Ester Hernández,negative
ecancer en español,negative
Journal of the @NCCN,negative
European Pharmaceutical Review,negative
Carlo Centemeri,negative
Paperbirds_Hematology,negative
Salvador S,negative
Sortiraparis,negative
Laurent Pradal,negative
cafepharma,negative
Pharmaceutical,negative
Serena Tinari,negative
Pharma Prime Time,negative
Miguel Angel Grullon C.,negative
Sosyal Medya,negative
@investigando,negative
OncLive SOSS,negative
BioCalifornia,negative
Helen Ong,negative
Lyke Lyfe,negative
Takehiko Yoshino,negative
Brainstormer 🇳🇱🇳🇱,negative
Brainstormer 🇳🇱🇳🇱,negative
OncLive.com,negative
Pharmaceutical Market Europe,negative
PHARMABOX.IN,negative
Christina H,negative
FiercePharma,negative
Nikita,negative
Biotech & Tech Stock Focus,negative
MAISA,positive
R Mandy Alcuria,negative
Ronald M. Chavin,negative
Continental Clinical,negative
Endpoints News,negative
WebWire,negative
Infectotuits,negative
ZdravMedInfo,negative
Koronavirüs Haber ☣️,negative
maybeawriter,negative
Siber Gazete,negative
Kevin Paul Oge,negative
Dr Timos Papagatsias,negative
NewExpressNews,negative
Briefing.com,negative
"Synergy Healthcare, LLC",negative
Fuerza/Fuerza,negative
Redacción Médica,negative
Ben Fidler,negative
Lu Chen #nobias,negative
PHARMABOX.IN,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
Nathan Vardi,negative
HABER3.com 🇹🇷,negative
Endpoints News,negative
****,negative
ABC Gazetesi,negative
Dr Timos Papagatsias,negative
Leonid Schneider,negative
Mr. Rama Vs. Comics,negative
Imran Iftikhar,negative
Anand C. Patel,negative
Allison Gatlin,negative
bioinvest.io,negative
mednetnews,negative
Jon Angelo,negative
Briefing.com,negative
Новости GMP,negative
CDE News,negative
Company News HQ,negative
PharmaShots - Incisive news in 3 shots,negative
Terra,negative
Briefing.com,negative
The Medical Ed Cons.,negative
Soumyajyoti Biswas,positive
San Francisco Biotechnology Network,negative
Daniel J Drucker,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
Endpoints News,negative
CHItraders,negative
PressReleasePoint,negative
Gordon Gekko,negative
Breaking News,negative
Market Intelligence: Healthcare,negative
Nicolas Viudez,negative
CHItraders,negative
Quant Data,negative
FirstWord Pharma,negative
Al Arabiya English,negative
Bloomberg Australia,negative
Economía Digital,negative
Bloomberg,negative
Nel Sestayo,negative
Healthcare,negative
@Easy_Branches #guestpostingservices,negative
M,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
Cision News,negative
Ritrattodellasalute,negative
LARVOL,negative
I Malati Invisibili,negative
1stOncology,negative
Chris Manfuso,negative
@investigando,negative
Benlazar S.M Aminé,negative
David Ledger,negative
OncLive.com,negative
Samir Sheth ☕,negative
Plexus Ventures,positive
Bls-D.Com,negative
José Viurquis,negative
UroToday.com,negative
Blood Cancer Uncensored,negative
Sporočila za javnost O-STA,negative
gRttwit,negative
Repubblica Salute,negative
BiopharmaAsia,negative
PHARMABOX.IN,negative
Pharma Trader,negative
Iceberg Vision,negative
Everything Pharma,negative
Theriaque_officiel,negative
PharmaCrowd,negative
Salutedomani,negative
saluteH24.com,negative
Antonio Caperna,negative
Derma News OK,negative
Medinews,negative
Lymphoma Hub,positive
PHARMABOX.IN,negative
PharmaShots - Incisive news in 3 shots,negative
Prashant Mehta,positive
Medicircle.in,positive
WebWire,negative
Himani Chandna,negative
HealthcarePRwire,negative
IndustryPRwire,negative
LARVOL,positive
Briefing.com,negative
Stocks tweets,negative
FirstWord Pharma,negative
Company News HQ,negative
The Pharma Letter,negative
NonSell.com,positive
Quant Data,negative
Inara Bright,negative
Mehrdad Yousefi,negative
WheelieDealer,negative
GraniteShares Europe,negative
EIN Presswire: EU Politics Newswire,negative
Golden Casino News,negative
Urology,negative
Oncology,negative
WCM Englander Institute for Precision Medicine,negative
Aloysius Pendergast,negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
CALQUENCE® (acalabrutinib),negative
Toby Eyre,positive
MEDWAVE,negative
OncLive SOSS,negative
Michele Nadeem-Baker,negative
Oncology,negative
Urology,negative
Kate Cwynarski,positive
David Henry,negative
WCM Lymphoma,negative
とりさん@obsoleted,negative
Lymphoma Papers,negative
ThePrint Science,negative
ThePrint Science,negative
Shekhar Gupta,negative
ThePrintIndia,negative
univadis,negative
Univadis,negative
OncLive SOSS,negative
Marty Fecarotta,negative
Medelis: OncologyCRO,negative
Medical Dialogues,negative
MEDWAVE,positive
Lymphoma Hub,negative
SunStar Cebu,negative
ꪀꪖ𝕛᭙ꪖ,negative
"Mike Thompson, MD, PhD, FASCO",negative
COVID-19 and Cancer Consortium (CCC19) Registry,negative
ENTIRE MARKET INFORMATION,negative
日本がん対策新聞,negative
Antibiotic Steward🆔🦠Bassam Ghanem,negative
ExpPharma,negative
Thiago Carvalho,negative
Julien Potet,negative
zavingsin,negative
CNN Philippines,negative
IIFLMarkets,negative
TheUemployed,negative
Doktor Net PH,negative
Sun Star Pampanga,negative
ABS-CBN News,negative
ABS-CBN News Channel,negative
Dayco India,negative
Medical Dialogues,negative
Vikas kumar sharma,positive
FinReach,negative
MADURAI TRADING ACADEMY,negative
#Enritchansrajpandey,positive
K Karthik Raja,negative
The Hans India,negative
Markets Today,negative
Ancient Stock Analysis,negative
CNBC-TV18,negative
Markets Today,negative
Medscape Pharmacists,negative
Markets Today,negative
NEERAJ BAJPAI,positive
BloombergQuint,negative
Redbox India,negative
CNBC-TV18,negative
Trip Database,negative
BSE Corporate News,negative
myupchar,negative
ITSM - Industrial,negative
Teena Thacker,negative
OncLive SOSS,negative
PINSIDER NEWS,negative
EJ,negative
日経メディカル,negative
Guwahati News,negative
Economic Times,negative
がんナビ通信,negative
Mango News,negative
"MAJ DR B P SINGH,SG Medallist*(SIACHEN GLACIER*)",negative
医学学会ニュース,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
JINU JAMES,negative
ET Industry News,negative
ETHealthWorld,negative
"Freddy Pizart, R.N.",negative
Aaj Ka Samachar,negative
Ketan,negative
印度孟加拉代购yindu948,negative
UroToday.com,negative
V.V. Ganesha,negative
ThePrint Science,negative
Medscape,negative
Himani Chandna,negative
ThePrintIndia,negative
印度🇮🇳孟加拉🇧🇩土耳其🇹🇷药,negative
印度孟加拉土耳其进口药,negative
印度孟加拉土耳其靶向药,negative
MDEdge,negative
www.zdravezpravy.cz,negative
AGD Biomedicals,negative
Medscape Oncology,negative
MDedge Hematology & Oncology,negative
Paperbirds_Hematology,negative
eDNA,negative
ClinicalTrialsData,positive
ClinicalTrialsData,positive
ClinicalTrialsData,negative
MEDWAVE,negative
がんナビ通信,negative
日経メディカル,negative
abe dental,negative
Taan Pacheco,negative
HemOnc Today,negative
Cancer Review,negative
Cancer Update,negative
Cancer Research News,negative
医学学会ニュース,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
DrugPatentWatch,negative
INDoximity 🇮🇳,negative
clinicaltherapeutics,negative
Vasanthi Ilangovan,negative
Sherry,negative
Sid Murlidhar,positive
UroToday.com,negative
Medivizor,negative
Oncology Tube,negative
"dtw Research, Inc",negative
Cancer Discovery,negative
Paperbirds_Hematology,negative
Trip Database,negative
"Tian Zhang, MD, MHS",negative
OncLive SOSS,negative
Paperbirds_Hematology,positive
Occupandi Temporis,negative
Oncology Tube,negative
AustralianPrescriber,negative
TAP Clinical Trial Network,negative
filippo masini,negative
filippo masini,negative
Oncology Tube,negative
Trip Database,negative
TAP Clinical Trial Network,negative
BioMassSpec,negative
CALQUENCE® (acalabrutinib),negative
OncLive.com,negative
"KOLKATA RAVI SPECIALITIES PHARMA PVT.LTD.,",negative
delhi-ravi worldwide medicines,negative
Targeted Oncology,positive
CureHuntr,negative
TrialBulletin,negative
Paperbirds_Hematology,negative
OncLive.com,positive
Helen Ong,positive
OncLive.com,negative
OncLive.com,negative
Stem Cells in the News,positive
"chadi nabhan MD, MBA, FACP",positive
Stem cell Watch,positive
Stem Cells in the News,negative
Oncology News Update,negative
Gabriel Chinchilla,negative
OncLive.com,negative
OncLive.com,negative
Lymphoma Hub,negative
HemOnc Today,negative
Seema Ali Bhat,negative
TeamHaem,negative
Lymphoma Hub,positive
Ronald M. Chavin,positive
Dr. Luis Villela,negative
Targeted Oncology,negative
"Steven Artandi, MD, PhD",negative
Mahmoud Aljurf,positive
Targeted Oncology,negative
MD Anderson Leukemia,negative
The ASCO Post,negative
Targeted Oncology,negative
The ASCO Post,negative
7NEWS Sydney,negative
7NEWS Sydney,negative
Lymphoma Australia,positive
Rozalina Sarkezians,negative
haemdoc,negative
Specialty Pharmacy Continuum,negative
"Tom Henry, MBA, RPh, CPh",negative
Leukaemia Foundation,positive
"Narinder Grewal, MD",negative
Anesthesiology News,negative
MW Gunter,negative
Medivizor,negative
Greg Hunt,negative
filippo masini,negative
"Narinder Grewal, MD",negative
Anesthesiology News,negative
Paperbirds_Hematology,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Jasdeep Sandhu,positive
Specialty Pharmacy Continuum,negative
Dr. Iván R. González,negative
Ignacio Duran,negative
ACS Journal Cancer,negative
Medicine Matters oncology,negative
Medivizor,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
CureHuntr,negative
TrialBulletin,negative
OncologyNurseAdvisor,negative
Fondation ARC,negative
Paperbirds_Hematology,negative
Renal & Urology News,negative
Hematology Advisor,negative
CancerTherapyAdvisor,negative
CONQUER the patient voice,negative
Amer. Urol. Assn.,negative
OncologyNurseAdvisor,negative
OncologyNurseAdvisor,negative
univadis,negative
OncLive.com,negative
CancerTherapyAdvisor,negative
TekCrispy,negative
Trip Database,negative
CURE Magazine,negative
garvs,negative
Alejandro de Bary,negative
Paperbirds_Hematology,negative
Specialty Pharmacy Continuum,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
PharmacyPhunQuiz,negative
Medivizor,negative
ImmunotherapyPapers,negative
"Maria Badillo, MSN RN OCN CCRP",positive
CURE Magazine,negative
Immuno-Oncology,negative
オンコロ,negative
"Guru Sonpavde, MD",negative
Trip Database,negative
Nash Peters,positive
Ali Khaki,negative
ACS Journal Cancer,negative
InfectiousDiseaseAdv,negative
LymphomaAction,positive
Hématologie,negative
いきいき健康村,negative
ゆめびと,negative
MD Anderson Leukemia,negative
ダビデ🧬Aqoursドームツアー成功祈願🐳,negative
ダビデ🧬Aqoursドームツアー成功祈願🐳,negative
NEWSRELEA.SE,negative
JPubb 日本企業 リリース 医薬品,negative
PR TIMESビジネス,negative
薬剤師ニュース配信くん,negative
PR TIMESニュース,negative
WMR Tokyo - スタートアップ,negative
Specialty Pharmacy Continuum,negative
InfectiousDiseaseSE,negative
ClinicalOncologyNews,negative
Pharmacy Practice News,negative
"COTA, Inc.",negative
Pete Afrasiabi,positive
Pharmacy Practice News,negative
ESMO - Eur. Oncology,negative
Ärzte Zeitung,negative
Medivizor,negative
AGD Biomedicals,negative
Ronald M. Chavin,negative
ClinicalOncologyNews,negative
Lymphoma Hub,positive
Meedo,negative
AGD Biomedicals,negative
BiopharmaAsia,positive
TrialBulletin,negative
CureHuntr,negative
Specialty Pharmacy Continuum,negative
Pete Afrasiabi,positive
1stOncology,positive
APOTHEKE ADHOC,negative
がんナビ通信,negative
日経メディカル,negative
TrialBulletin,negative
CureHuntr,negative
InfectiousDiseaseSE,negative
abe dental,negative
Tweets,negative
Specialty Pharmacy Continuum,negative
Andy Vermaut,negative
Pharmacy Practice News,negative
医療ニュース速報,negative
医学学会ニュース,negative
前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,negative
Jon Angelo,negative
Pharmafocus,negative
Company News HQ,positive
Finwire News,negative
Contentoflifer,negative
GraniteShares Europe,negative
DirectorsTalk,positive
